기관대분류,최상위기관,기관명,전체기관명,총계,공개장소,비공개장소,공개장소 소계,범죄예방,시설안전 및 화재예방,교통단속,교통정보수집 분석 및 제공
국가행정기관,경찰청,경기도북부지방경찰청,경찰청 경기도북부지방경찰청,1181,1147,34,1147,0,111,220,816
국가행정기관,경찰청,가평경찰서,경찰청 경기도북부지방경찰청 가평경찰서,58,37,21,37,0,37,0,0
국가행정기관,경찰청,고양경찰서,경찰청 경기도북부지방경찰청 고양경찰서,132,75,57,75,0,75,0,0
국가행정기관,경찰청,구리경찰서,경찰청 경기도북부지방경찰청 구리경찰서,101,61,40,61,0,61,0,0
국가행정기관,경찰청,남양주남부경찰서,경찰청 경기도북부지방경찰청 남양주남부경찰서,225,119,106,119,0,119,0,0
국가행정기관,경찰청,남양주북부경찰서,경찰청 경기도북부지방경찰청 남양주북부경찰서,153,112,41,112,0,112,0,0
국가행정기관,경찰청,동두천경찰서,경찰청 경기도북부지방경찰청 동두천경찰서,81,56,25,56,0,56,0,0
국가행정기관,경찰청,양주경찰서,경찰청 경기도북부지방경찰청 양주경찰서,113,71,42,71,0,71,0,0
국가행정기관,경찰청,연천경찰서,경찰청 경기도북부지방경찰청 연천경찰서,55,45,10,45,0,45,0,0
국가행정기관,경찰청,의정부경찰서,경찰청 경기도북부지방경찰청 의정부경찰서,177,107,70,107,0,107,0,0
국가행정기관,경찰청,일산동부경찰서,경찰청 경기도북부지방경찰청 일산동부경찰서,146,60,86,60,0,60,0,0
국가행정기관,경찰청,일산서부경찰서,경찰청 경기도북부지방경찰청 일산서부경찰서,99,63,36,63,0,63,0,0
국가행정기관,경찰청,파주경찰서,경찰청 경기도북부지방경찰청 파주경찰서,140,68,72,68,0,68,0,0
국가행정기관,경찰청,포천경찰서,경찰청 경기도북부지방경찰청 포천경찰서,103,74,29,74,0,74,0,0
국가행정기관,경찰청,경상남도지방경찰청,경찰청 경상남도지방경찰청,1436,1181,255,1181,0,46,1135,0
국가행정기관,경찰청,거제경찰서,경찰청 경상남도지방경찰청 거제경찰서,97,69,28,69,0,69,0,0
국가행정기관,경찰청,거창경찰서,경찰청 경상남도지방경찰청 거창경찰서,108,76,32,76,0,76,0,0
국가행정기관,경찰청,고성경찰서,경찰청 경상남도지방경찰청 고성경찰서,101,68,33,68,0,68,0,0
국가행정기관,경찰청,김해서부경찰서,경찰청 경상남도지방경찰청 김해서부경찰서,130,98,32,98,0,98,0,0
국가행정기관,경찰청,김해중부경찰서,경찰청 경상남도지방경찰청 김해중부경찰서,119,74,45,74,0,74,0,0
국가행정기관,경찰청,남해경찰서,경찰청 경상남도지방경찰청 남해경찰서,59,41,18,41,0,41,0,0
국가행정기관,경찰청,마산동부경찰서,경찰청 경상남도지방경찰청 마산동부경찰서,157,53,104,53,0,53,0,0
국가행정기관,경찰청,마산중부경찰서,경찰청 경상남도지방경찰청 마산중부경찰서,75,51,24,51,0,51,0,0
국가행정기관,경찰청,밀양경찰서,경찰청 경상남도지방경찰청 밀양경찰서,122,45,77,45,0,45,0,0
국가행정기관,경찰청,사천경찰서,경찰청 경상남도지방경찰청 사천경찰서,113,79,34,79,0,79,0,0
국가행정기관,경찰청,산청경찰서,경찰청 경상남도지방경찰청 산청경찰서,77,59,18,59,0,59,0,0
국가행정기관,경찰청,양산경찰서,경찰청 경상남도지방경찰청 양산경찰서,176,58,118,58,0,58,0,0
국가행정기관,경찰청,의령경찰서,경찰청 경상남도지방경찰청 의령경찰서,81,72,9,72,0,72,0,0
국가행정기관,경찰청,진주경찰서,경찰청 경상남도지방경찰청 진주경찰서,182,98,84,98,0,98,0,0
국가행정기관,경찰청,진해경찰서,경찰청 경상남도지방경찰청 진해경찰서,113,86,27,86,0,86,0,0
국가행정기관,경찰청,창녕경찰서,경찰청 경상남도지방경찰청 창녕경찰서,97,61,36,61,0,61,0,0
국가행정기관,경찰청,창원서부경찰서,경찰청 경상남도지방경찰청 창원서부경찰서,122,63,59,63,0,63,0,0
국가행정기관,경찰청,창원중부경찰서,경찰청 경상남도지방경찰청 창원중부경찰서,144,59,85,59,0,59,0,0
국가행정기관,경찰청,통영경찰서,경찰청 경상남도지방경찰청 통영경찰서,113,71,42,71,0,71,0,0
국가행정기관,경찰청,하동경찰서,경찰청 경상남도지방경찰청 하동경찰서,77,53,24,53,0,53,0,0
국가행정기관,경찰청,함안경찰서,경찰청 경상남도지방경찰청 함안경찰서,82,55,27,55,0,55,0,0
국가행정기관,경찰청,함양경찰서,경찰청 경상남도지방경찰청 함양경찰서,79,79,0,79,20,59,0,0
국가행정기관,경찰청,합천경찰서,경찰청 경상남도지방경찰청 합천경찰서,120,94,26,94,0,94,0,0
국가행정기관,경찰청,경상북도지방경찰청,경찰청 경상북도지방경찰청,595,501,94,501,0,309,192,0
국가행정기관,경찰청,경산경찰서,경찰청 경상북도지방경찰청 경산경찰서,241,180,61,180,0,65,115,0
국가행정기관,경찰청,경주경찰서,경찰청 경상북도지방경찰청 경주경찰서,304,267,37,267,0,117,150,0
국가행정기관,경찰청,고령경찰서,경찰청 경상북도지방경찰청 고령경찰서,94,87,7,87,0,59,28,0
국가행정기관,경찰청,구미경찰서,경찰청 경상북도지방경찰청 구미경찰서,371,293,78,293,0,151,142,0
국가행정기관,경찰청,군위경찰서,경찰청 경상북도지방경찰청 군위경찰서,75,55,20,55,0,31,24,0
국가행정기관,경찰청,김천경찰서,경찰청 경상북도지방경찰청 김천경찰서,277,219,58,219,0,127,92,0
국가행정기관,경찰청,문경경찰서,경찰청 경상북도지방경찰청 문경경찰서,168,138,30,138,0,84,54,0
국가행정기관,경찰청,봉화경찰서,경찰청 경상북도지방경찰청 봉화경찰서,90,83,7,83,0,61,22,0
국가행정기관,경찰청,상주경찰서,경찰청 경상북도지방경찰청 상주경찰서,208,185,23,185,0,115,70,0
국가행정기관,경찰청,성주경찰서,경찰청 경상북도지방경찰청 성주경찰서,119,93,26,93,0,61,32,0
국가행정기관,경찰청,안동경찰서,경찰청 경상북도지방경찰청 안동경찰서,209,173,36,173,0,106,67,0
국가행정기관,경찰청,영덕경찰서,경찰청 경상북도지방경찰청 영덕경찰서,63,42,21,42,0,33,9,0
국가행정기관,경찰청,영양경찰서,경찰청 경상북도지방경찰청 영양경찰서,69,60,9,60,0,35,25,0
국가행정기관,경찰청,영주경찰서,경찰청 경상북도지방경찰청 영주경찰서,189,154,35,154,0,112,42,0
국가행정기관,경찰청,영천경찰서,경찰청 경상북도지방경찰청 영천경찰서,164,149,15,149,0,91,58,0
국가행정기관,경찰청,예천경찰서,경찰청 경상북도지방경찰청 예천경찰서,137,121,16,121,0,76,45,0
국가행정기관,경찰청,울릉경찰서,경찰청 경상북도지방경찰청 울릉경찰서,31,22,9,22,0,22,0,0
국가행정기관,경찰청,울진경찰서,경찰청 경상북도지방경찰청 울진경찰서,96,85,11,85,0,49,36,0
국가행정기관,경찰청,의성경찰서,경찰청 경상북도지방경찰청 의성경찰서,206,180,26,180,0,119,61,0
국가행정기관,경찰청,청도경찰서,경찰청 경상북도지방경찰청 청도경찰서,108,83,25,83,0,58,25,0
국가행정기관,경찰청,청송경찰서,경찰청 경상북도지방경찰청 청송경찰서,102,85,17,85,0,61,24,0
국가행정기관,경찰청,칠곡경찰서,경찰청 경상북도지방경찰청 칠곡경찰서,177,131,46,131,0,61,70,0
국가행정기관,경찰청,포항남부경찰서,경찰청 경상북도지방경찰청 포항남부경찰서,284,235,49,235,0,139,96,0
국가행정기관,경찰청,포항북부경찰서,경찰청 경상북도지방경찰청 포항북부경찰서,288,227,61,227,0,137,90,0
국가행정기관,경찰청,경찰대학,경찰청 경찰대학,295,96,199,96,0,96,0,0
국가행정기관,경찰청,경찰병원,경찰청 경찰병원,206,206,0,206,0,206,0,0
국가행정기관,경찰청,경찰수사연수원,경찰청 경찰수사연수원,74,74,0,74,0,74,0,0
국가행정기관,경찰청,경찰인재개발원,경찰청 경찰인재개발원,129,55,74,55,0,55,0,0
국가행정기관,경찰청,광주광역시지방경찰청,경찰청 광주광역시지방경찰청,701,542,159,542,0,32,510,0
국가행정기관,경찰청,광주광산경찰서,경찰청 광주광역시지방경찰청 광주광산경찰서,69,69,0,69,0,69,0,0
국가행정기관,경찰청,광주남부경찰서,경찰청 광주광역시지방경찰청 광주남부경찰서,100,44,56,44,0,44,0,0
국가행정기관,경찰청,광주동부경찰서,경찰청 광주광역시지방경찰청 광주동부경찰서,65,31,34,31,0,31,0,0
국가행정기관,경찰청,광주북부경찰서,경찰청 광주광역시지방경찰청 광주북부경찰서,140,76,64,76,0,76,0,0
국가행정기관,경찰청,광주서부경찰서,경찰청 광주광역시지방경찰청 광주서부경찰서,154,64,90,64,0,64,0,0
국가행정기관,경찰청,대구광역시지방경찰청,경찰청 대구광역시지방경찰청,920,712,208,712,0,10,702,0
국가행정기관,경찰청,대구강북경찰서,경찰청 대구광역시지방경찰청 대구강북경찰서,161,47,114,47,47,0,0,0
국가행정기관,경찰청,대구남부경찰서,경찰청 대구광역시지방경찰청 대구남부경찰서,124,57,67,57,0,57,0,0
국가행정기관,경찰청,대구달서경찰서,경찰청 대구광역시지방경찰청 대구달서경찰서,134,65,69,65,0,65,0,0
국가행정기관,경찰청,대구달성경찰서,경찰청 대구광역시지방경찰청 대구달성경찰서,96,68,28,68,0,68,0,0
국가행정기관,경찰청,대구동부경찰서,경찰청 대구광역시지방경찰청 대구동부경찰서,213,146,67,146,0,146,0,0
국가행정기관,경찰청,대구북부경찰서,경찰청 대구광역시지방경찰청 대구북부경찰서,120,65,55,65,0,65,0,0
국가행정기관,경찰청,대구서부경찰서,경찰청 대구광역시지방경찰청 대구서부경찰서,162,54,108,54,0,54,0,0
국가행정기관,경찰청,대구성서경찰서,경찰청 대구광역시지방경찰청 대구성서경찰서,159,52,107,52,0,52,0,0
국가행정기관,경찰청,대구수성경찰서,경찰청 대구광역시지방경찰청 대구수성경찰서,167,97,70,97,0,97,0,0
국가행정기관,경찰청,대구중부경찰서,경찰청 대구광역시지방경찰청 대구중부경찰서,118,57,61,57,0,57,0,0
국가행정기관,경찰청,대전광역시지방경찰청,경찰청 대전광역시지방경찰청,796,624,172,624,0,13,611,0
국가행정기관,경찰청,대전대덕경찰서,경찰청 대전광역시지방경찰청 대전대덕경찰서,92,34,58,34,0,34,0,0
국가행정기관,경찰청,대전동부경찰서,경찰청 대전광역시지방경찰청 대전동부경찰서,187,115,72,115,0,115,0,0
국가행정기관,경찰청,대전둔산경찰서,경찰청 대전광역시지방경찰청 대전둔산경찰서,132,62,70,62,0,62,0,0
국가행정기관,경찰청,대전서부경찰서,경찰청 대전광역시지방경찰청 대전서부경찰서,96,49,47,49,0,49,0,0
국가행정기관,경찰청,대전유성경찰서,경찰청 대전광역시지방경찰청 대전유성경찰서,172,122,50,122,0,122,0,0
